Unnamed: 0,ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor
556.0,Almazan1810,Spain,41.5128836,-2.5594214,37,Almazan,1810,"['Napoleonic', 'Spanish', 'French', 'Soria']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
560.0,Almeida1810,Portugal,40.7254048,-6.9055942,37,Almeida,1810,"['Napoleonic', 'Portuguese', 'French', 'Massena', 'Almeida', 'Portuguese', 'Bussaco']",Napoleonic Wars (Peninsula Campaign),France,"Portugal, United Kingdom",,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p536",,
562.0,Almeida1811,Portugal,40.7254048,-6.9055942,37,Almeida,1811,"['Napoleonic', 'Portuguese', 'Almeida', 'Portuguese', 'Wellington', 'French']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p537",,
576.0,Almonacid1809,Spain,39.753623,-3.8534422,38,Almonacid,1809,"['Napoleonic', 'Portugal', 'Spain', 'French', 'Spanish', 'Toledo', 'Venegas']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p536",,
606.0,Altafulla1812,Spain,41.1469855,1.3806902,40,Altafulla,1812,"['Napoleonic', 'French', 'Spanish', 'Tarragona', 'Spain', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
646.0,Amarante1809,Portugal,41.2696357,-8.0826488,43,Amarante,1809,"['Napoleonic', 'French', 'French', 'Amarante', 'British', 'Portugal']",Napoleonic Wars (Peninsula Campaign),France,Portugal,,,,Land,,No,,,
708.0,Amposta1813,Spain,40.7067997,0.5801695,47,Amposta,1813,"['Napoleonic', 'Sicilian', 'Catalonia', 'French', 'Amposta', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,"United Kingdom, Sicily",,,,Land,,No,,,
720.0,Amstetten1805,Austria,48.12502,14.86934,48,Amstetten,1805,"['Napoleonic', 'Vienna', 'Austrian', 'Russian', 'Vienna']",Napoleonic Wars (3rd Coalition),France,Russia,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p514",,
,Ancona1815,Italy,43.6158299,13.518915,"Showalter, p560",Ancona,1815,,Napoleonic Wars (100 Days Campaign),Habsburg Empire,Kingdom of Naples,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p560",,
806.0,Anholt1811,Denmark,56.7119956,11.5547024,53,Anholt,1811,"['Napoleonic', 'British']",Napoleonic Wars (5th Coalition),United Kingdom,Denmark,,,1.0,Land and Sea,,No,,,
960.0,Arcis-sur-Aube1814,France,48.537751,4.143492,63,Arcis-sur-Aube,1814,"['Napoleonic', 'French', 'Rheims', 'Austrian', 'Paris']",Napoleonic Wars (French Campaign),France,Habsburg Empire,,,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p553",,
1072.0,Arriverayte1814,France,43.3707479,-0.8769447,70,Arriverayte,1814,"['Napoleonic', 'Allies', 'Bayonne', 'France', 'Paris', 'Paris', 'French']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,,Land,,No,,,
1080.0,Arroyo Molinos1811,Spain,39.1833979,-6.1719603,71,Arroyo Molinos,1811,"['Napoleonic', 'Spain', 'French', 'Spanish', 'Merida']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p538",,
1114.0,Arzobispo1809,Portugal,39.399872,-8.224454,73,Arzobispo,1809,"['Portugal', 'British', 'Spanish', 'French', 'Cuestas']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
1172.0,Aspern-Essling1809,Austria,48.2172549,16.4927219,77,Aspern-Essling,1809,"['Napoleonic', 'Austrian', 'Vienna', 'Essling', 'Plain', 'Marchfeld', 'French', 'Austrian']",Napoleonic Wars (5th Coalition0,Austria,France,,,3.0,Land,,No,"The Field and the Forge, Landers, p392",,
1188.0,Astorga1810,Spain,42.4549303,-6.0532511,78,Astorga,1810,"['Napoleonic', 'French', 'Astorga', 'Spain', 'Spanish']",Napoleonic Wars (Peninsula War),France,Spain,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p536",,
1248.0,Auerstadt1806,Germany,51.0991878,11.5887437,82,Auerstadt,1806,"['Napoleonic', 'Ferdinand', 'Weimar']",Napoleonic Wars (5th Coalition),France,Prussia,,,3.0,Land,,No,"The Field and the Forge, Landers, p391",,
1274.0,Austerlitz1805,Czechia,49.1532539,16.8764982,84,Austerlitz,1805,"['Napoleonic', 'Russian-Austrian', 'Vienna', 'Brno', 'Austria', 'Russia']",Napoleonic Wars (3rd Coalition),France,"Russia, Austria",,,3.0,Land,,No,"The Field and the Forge, Landers, p391",,
1324.0,Ayerbe1811,Spain,42.2748623,-0.6879802,87,Ayerbe,1811,"['Napoleonic', 'French', 'Ayerbe', 'Spain', 'Spanish']",Napoleonic Wars (Peninsula Campaign),Spanish Rebels,"France, Italy",,,,Land,,No,,,
1386.0,Badajoz (1st)1811,Spain,38.8794495,-6.9706535,92,Badajoz (1st),1811,"['Napoleonic', 'Spanish', 'French']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,2.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p154",,
1388.0,Badajoz (2nd)1811,Spain,38.8794495,-6.9706535,92,Badajoz (2nd),1811,"['Napoleonic', 'French', 'Anglo']",Napoleonic Wars (Peninsula Campaign),France,"United Kingdom, Portugal",,,2.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p155",,
1390.0,Badajoz1812,Spain,38.8794495,-6.9706535,92,Badajoz,1812,"['Badajoz', 'Portuguese', 'French']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Portugal",France,,,3.0,Land,,No,"The Field and the Forge, Landers, p401",,
,Bannes1814,France,48.7908793,3.8957794,"Clodfelter, p167",Bannes,1814,,Napoleonic Wars (French Campaign),"Habsburg Empire, Russia",France,,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p167",,
1570.0,Banos1809,Spain,42.8798475,-9.4389895,104,Banos,1809,"['Portugal', 'Anglo', 'French', 'British', 'Spain', 'Banos', 'Tagus']",Napoleonic Wars (Peninsula Campaign),France,"United Kingdom, Portugal",,,,Land,,No,,,
1606.0,Barba de Puerco1810,Spain,40.836701,-6.6929511,107,Barba de Puerco,1810,"['Napoleonic', 'British', 'Ciudad', 'Ferey', 'French']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,1.0,Land,,No,,1,
1664.0,Barquilla1810,Spain,41.6424069,-7.3652134,110,Barquilla,1810,"['Napoleonic', 'Ciudad', 'French', 'Villar de Puerco', 'French', 'Craufurds']",Napoleonic Wars,France,United Kingdom,,,,Land,,No,,,
1672.0,Barrosa1811,Spain,36.3446998,-6.1777505,111,Barrosa,1811,"['Napoleonic', 'British', 'French']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Portugal",France,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p537",,
1674.0,Bar-sur-Aube1814,France,48.231209,4.707771,111,Bar-sur-Aube,1814,"['French', 'Paris', 'Troyes', 'Troyes', 'Paris']",Napoleonic Wars (French Campaign),"Russia, Habsburg Empire, Wurttemberg",France,,,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p552",,
1734.0,Batavia1811,Indonesia,-6.180495,106.8283415,115,Batavia,1811,"['Napoleonic', 'British', 'Auchmuty', 'Dutch', 'Batavia', 'Jakarta', 'Fort Cornelius', 'Dutch', 'Britain', 'Holland']",Napoleonic Wars (5th Coalition),United Kingdom,Netherlands,,,2.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p37-38",,
1762.0,Bautzen1813,Germany,51.182293,14.4237749,117,Bautzen,1813,"['Dresden', 'Bluchers']",Napoleonic Wars (War of Liberation),France,"Austria, Russia",,,4.0,Land,,No,"The Field and the Forge, Landers, p392",,
1774.0,Baylen1808,Spain,38.0951601,-3.7765276,118,Baylen,1808,"['French', 'Baylen', 'Spanish', 'Spain']",Napoleonic Wars (Peninsula Campaign),Spain,France,,,3.0,Land,,No,"The Field and the Forge, Landers, p391",,
1778.0,Bayonne1814,France,43.492949,-1.474841,118,Bayonne,1814,"['Bayonne', 'British', 'French']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, p544; Clodfelter, Warfare and Armed Conflict, p156",,
1784.0,Baza1810,Spain,37.4862228,-2.7769904,118,Baza,1810,"['Granada', 'Spanish']",Napoleonic Wars (Peninsula Campaign),,,,,,Land,,No,,,
1878.0,Belchite1809,Spain,41.3047407,-0.7544692,125,Belchite,1809,"['Napoleonic', 'Spanish', 'Blake', 'Asturian', 'French']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,2.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p154",,
1946.0,Benavente1808,Spain,42.0028837,-5.6784691,129,Benavente,1808,"['Napoleonic', 'French', 'British', 'Spain', 'French']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Spain",France,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p534",,
1948.0,Benavides1811,Spain,42.5332128,-5.9621106,129,Benavides,1811,"['Napoleonic', 'Spanish', 'French', 'Spanish']",Napoleonic Wars (Peninsula Campaign),Spain,France,,,,Land,,No,,,
1988.0,Berezina1812,Belarus,54.2189444,28.3890918,132,Berezina,1812,"['Napoleonic', 'Russian', 'Moscow', 'Borisov', 'French']",Napoleonic Wars (Russian Campaign),Russia,France,,,3.0,Land,,No,"The Field and the Forge, Landers, p392",,
2004.0,Bergen-op-Zoom1814,Netherlands,51.4945758,4.2871622,133,Bergen-op-Zoom,1814,"['Napoleonic', 'French', 'French', 'Paris', 'British', 'Holland', 'French', 'British']",Napoleonic Wars (French Campaign),France,United Kingdom,,,3.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p42",,
2006.0,Bergfriede1807,Germany,52.4518825,11.0679096,133,Bergfriede,1807,['Russians'],Napoleonic Wars (4th Coalition),Russia,France,,,,Land,,No,,,
,Berg Isel1809,Austria,47.2499991,11.3912452,"Clodfelter, p158",Berg Isel,1809,,Napoleonic Wars (5th Coalition),Tyrolese Rebels,"Bavaria, France",,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p158",,
2072.0,Biar1813,Spain,38.6308202,-0.7663538,137,Biar,1813,"['Valencia', 'Spanish', 'Yecla']",Napoleonic Wars (Peninsula Campaign),France,United Kingdom,,,,Land,,No,,,
2084.0,Bidassoa1813,Spain,43.2462915,-1.7053188,138,Bidassoa,1813,"['Napoleonic', 'Wellington', 'Spanish', 'San Sebastian', 'French', 'French', 'Marshal']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,3.0,Land,,No,"The Field and the Forge, Landers, p392",,
2120.0,Bilbao1808,Spain,43.2630126,-2.9349852,141,Bilbao,1808,"['Basques', 'Bilbao', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,Battle followed by massacre,,,
2122.0,Bilbao1812,Spain,43.2630126,-2.9349852,141,Bilbao,1812,"['Napoleonic', 'Spain', 'Spanish', 'French']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land and Sea,,No,,,
2222.0,Blueberg1806,South Africa,-33.8194491,18.4865663,147,Blueberg,1806,"['Napoleonic', 'French', 'Holland', 'Britain', 'Holland', 'Dutch']",Napoleonic Wars (4th Coalition),United Kingdom,Netherlands,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p516",,
2274.0,Bolshoi-Stakhov1812,Russia,54.2571,28.3849113,151,Bolshoi-Stakhov,1812,"['Napoleonic', 'Russian', 'Moscow', 'Russian']",Napoleonic Wars (Russian Campaign),France,Russia,,,,Land,,No,,,
2306.0,Bordeaux1814,France,44.837789,-0.57918,153,Bordeaux,1814,"['Wellington', 'Orthez', 'French', 'Bordeaux', 'Wellington']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,,Land,,No,,,
2310.0,Borghetto1814,Italy,45.3536783,10.7231723,153,Borghetto,1814,"['French', 'France', 'Austrian', 'Italy', 'Borghetto', 'Austrians', 'Italy']",Napoleonic Wars (Peninsula Campaign),France,Habsburg Empire,,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p167",,
2314.0,Borisov1812,Belarus,54.2144309,28.5084359,153,Borisov,1812,"['Russian', 'Polish', 'Borisov', 'Russian', 'Borisov']",Napoleonic Wars (Russian Campaign),Russia,"France, Poland",,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p163",,
2324.0,Bornos1811,Spain,36.8159238,-5.7433562,154,Bornos,1811,"['Napoleonic', 'Spanish', 'French', 'Cadiz', 'French', 'Cadiz']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
2326.0,Bornos1812,Spain,36.8159238,-5.7433562,154,Bornos,1812,"['Spanish', 'Bornos', 'Cadiz', 'French', 'Spaniards', 'San     Roque']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,2.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p155",,
2328.0,Borodino1812,Russia,55.529267,35.8233939,154,Borodino,1812,"['Russian', 'Russia', 'Smolensk', 'Russian', 'Moscow', 'French']",Napoleonic Wars (Peninsula Campaign),France,Russia,,,4.0,Land,BORO1812,No,"The Field and the Forge, Landers, p321; Battles Map by Map, p169",,
2372.0,Boulogne1804,France,50.725231,1.613334,157,Boulogne,1804,"['Napoleonic', 'French', 'Boulogne', 'English', 'French']",Napoleonic Wars (3rd Coalition),France,United Kingdom,,,,Sea,,No,,,1.0
2400.0,Braga1809,Portugal,41.5454486,-8.426507,159,Braga,1809,"['Napoleonic', 'French', 'Chaves', 'Prussian']",Napoleonic War (Peninsula Campaign),France,Portugal,,,,Land,,No,,,
2466.0,Breslau1806-1807,Poland,51.1078852,17.0385376,163,Breslau,1806-1807,"['Napoleonic', 'Poland', 'Russian', 'French']",Napoleonic Wars (4th Coalition),France,Russia,,,,Land,,No,,,
2496.0,Brienne1814,France,48.393104,4.526154,165,Brienne,1814,"['French', 'Paris', 'Prussian', 'Austrian', 'La    Rothiere']",Napoleonic Wars (French Campaign),France,"Prussia, Austria",,,3.0,Land,,No,"The Field and the Forge, Landers, p392",,
2596.0,Buenos Aires1806,Argentina,-34.6036844,-58.3815591,172,Buenos Aires,1806,"['Napoleonic', 'Britain', 'Spanish', 'French']",Napoleonic Wars (4th Coalition),"Spain, France",United Kingdom,,,1.0,Land and Sea,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p50; Clodfelter, Warfare and Armed Conflict, p145",,
2598.0,Buenos Aires1807,Argentina,-34.6036844,-58.3815591,172,Buenos Aires,1807,"['Napoleonic', 'British', 'French']",Napoleonic Wars (4th Coalition),"Spain, France",United Kingdom,,,2.0,Land ,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p50",,
2600.0,Buenza1813,Spain,42.7795688,-1.4524415,172,Buenza,1813,"['Lizasso', 'French']",Napoleonic Wars (Peninsula Campaign),France,United Kingdom,,,,Land,,No,,,
2644.0,Burgos1812,Spain,42.3439925,-3.696906,175,Burgos,1812,"['Wellington', 'Madrid', 'French', 'Souham', 'Wellington', 'Portugal']",Napoleonic Wars (Peninsula Campaign),France,United Kingdom,,,3.0,Land,,No,"The Field and the Forge, Landers, p401",,
2666.0,Bussaco1810,Portugal,40.35,-8.35,177,Bussaco,1810,"['Napoleonic', 'French', 'Portugal', 'Almeida', 'Portuguese', 'Bussaco', 'Lisbon', 'Wellington', 'Massena', 'Wellington']",Napoleonic Wars (Peninsula Campaign),France,United Kingdom,,,3.0,Land,,No,"The Field and the Forge, Landers, p392",,
2696.0,Cabezon1808,Spain,41.7376563,-4.6543983,179,Cabezon,1808,"['Cabezon', 'Napoleonic', 'Bonapartes', 'Spain', 'Spanish', 'Pisuerga']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p531",,
2708.0,Cabrillas1808,Spain,40.739905,-6.178553,180,Cabrillas,1808,"['Napoleonic', 'French', 'Catalonia', 'Spanish', 'Guadalajara', 'Valencia', 'Madrid']",Napoleonic War (Peninsula Campaign),France,Spain,,,,Land,,No,,,
2710.0,Cacabellos1809,Spain,42.598666,-6.7259138,180,Cacabellos,1809,"['Napoleonic', 'British']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,,Land,,No,,,
2726.0,Cadiz1808,Spain,36.5270612,-6.2885962,181,Cadiz,1808,"['Napoleonic', 'French', 'Spain', 'Spain', 'French', 'Trafalgar', 'Spanish']",Napoleonic Wars (Peninsula Campaign),Spain,France,,,,Land and Sea,,No,,,
2728.0,Cadiz1810-1812,Spain,36.5270612,-6.2885962,181,Cadiz,1810-1812,"['Napoleonic', 'France', 'Andalusia', 'Spanish', 'Cadiz', 'Anglo', 'French']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Portugal",France,,,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p539",,
2790.0,Calatayud1811,Spain,41.3531678,-1.6468455,185,Calatayud,1811,"['Napoleonic', 'French', 'Valencia', 'Spanish', 'French']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
2808.0,Caldiero1805,Italy,45.4080576,11.1750735,186,Caldiero,1805,"['Napoleonic', 'Austria', 'Austrians', 'Italy', 'Verona', 'French']",Napoleonic Wars (3rd Coalition),Habsburg Empire,France,,,3.0,Land,,No,"The Field and the Forge, Landers, p391",,
2882.0,Campo1811,Portugal,39.0134528,-7.0700063,191,Campo,1811,[],Napoleonic Wars,France,"United Kingdom, Portugal",,,,Land,,No,,,
2884.0,Campo Mayor (1st)1811,Portugal,39.0134528,-7.0700063,191,Campo Mayor (1st),1811,"['Napoleonic', 'French', 'Badajoz', 'Portuguese', 'Portuguese']",Napoleonic Wars (Peninsula Campaign),France,Portugal,,,,Land,,No,,,
2956.0,Cape Finisterre1805,Spain,42.7842749,-9.6965547,197,Cape Finisterre,1805,"['Napoleonic', 'Spain', 'British', 'Trafalgar']",Napoleonic Wars (3rd Coalition),United Kingdom,France,,,,Sea,,No,,,
,"Capri, 1815",Italy,44.7787652,10.8417364,"Showalter, p559",Carpi,1815,,Napoleonic Wars (100 Days Campaign),Habsburg Empire,Kingdom of Naples,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p559",,
3016.0,Cardedeu1808,Spain,41.6394024,2.3591531,201,Cardedeu,1808,"['Napoleonic', 'French', 'Rosas', 'Spanish', 'Barcelona', 'Spanish', 'Barcelona']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
3046.0,Carpio de Azaba1811,Spain,40.5959917,-6.6492911,203,Carpio de Azaba,1811,"['Azaba', 'Napoleonic', 'French', 'Ciudad']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,,Land,,No,,,
3094.0,Casa de Salinas1809,Spain,38.0514954,-5.6278386,206,Casa de Salinas,1809,"['Napoleonic', 'British', 'Madrid']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,,Land,,No,,,
,Casaglia1815,Italy,44.8791375,11.4462517,"Showalter, p559",Casaglia,1815,,Napoleonic Wars (100 Days Campaign),Habsburg Empire,Kingdom of Naples,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p559",,
3128.0,Cassel1813,France,50.8000619,2.486235,209,Cassel,1813,"['French', 'Jerome Bonapartes Kingdom', 'Russians', 'French']",Napoleonic Wars (3rd Coalition),Russia,France,,,,Land,,No,,,
3132.0,Castalla1812,Spain,38.5934127,-0.6725355,209,Castalla,1812,"['Napoleonic', 'Alicante', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p542",,
3134.0,Castalla1813,Spain,38.5934127,-0.6725355,209,Castalla,1813,"['Napoleonic', 'Valencia', 'French', 'Yecla', 'Castalla']",Napoleonic Wars (Peninsula Campaign),United Kingdom,France,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p542",,
,Castel di Sangro1815,Italy,41.7732434,14.0899966,"Showalter, p560",Castel di Sangro,1815,,Napoleonic Wars (100 Days Campaign),Habsburg Empire,Kingdom of Naples,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p560",,
3150.0,"Castelnuovo, Albania1806",Montenegro,42.4575757,18.5202481,210,"Castelnuovo, Albania",1806,"['Albania', 'Napoleonic', 'Dalmatia', 'French', 'Russians', 'Montenegrans']",Napoleonic Wars (6th Coalition),France,"Russia, Montenegro",,,,Land,,No,,,
3160.0,"Castillejos, Spain1811",Spain,37.3715997,-7.1907305,211,"Castillejos, Spain",1811,"['Spain', 'Napoleonic', 'Spain', 'Badajoz', 'Spanish', 'Guadiana', 'Portugal']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
3168.0,Castrejon1812,Spain,40.9114313,-5.8682122,211,Castrejon,1812,"['Napoleonic', 'Duoro', 'Tedula', 'Medina', 'French', 'Guarena']",Napoleonic Wars (Peninsula Campaign),France,United Kingdom,,,,Land,,No,,,
3172.0,Castrillo1812,Spain,41.2301507,-5.3276406,212,Castrillo,1812,"['French', 'British', 'Wellington']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, German Legion",France,,,,Land,,No,,,
3176.0,Castro Urdiales1812,Spain,43.4793847,-3.2199522,212,Castro Urdiales,1812,"['British', 'Spain', 'Spanish', 'Bilbao']",Napoleonic Wars (Peninsula Campaign),"United Kingdom, Spain",France,,,,Land,,No,,,
3178.0,Castro Urdiales1813,Spain,43.4793847,-3.2199522,212,Castro Urdiales,1813,"['Napoleonic', 'French', 'Bilbao', 'British', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,"Spain, United Kingdom",,,,Land,,No,,,
3190.0,Cattaro1813,Montenegro,42.424662,18.771234,,Cattaro,1813,[],Napoleonic Wars (War of Liberation),"Montenegro, United Kingdom",France,,,,Land,,No,,,
3210.0,Cayenne1809,French Guiana,4.92242,-52.3134531,214,Cayenne,1809,"['Napoleonic', 'British', 'Portuguese', 'Brazil', 'French', 'Cayenne', 'Cayenne', 'French', 'Portuguese']",Napoleonic Wars (5th Coalition),"United Kingdom, Portugal",France,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p545. Scale inferred from rank of Portuguese commanding officer and verbal description of French garrison",1,
3212.0,Cazal Novo1811,Portugal,40.046429,-8.187226,214,Cazal Novo,1811,Napoleonic Wars (5th Coalition),Napoleonic Wars (Peninsula Campaign),France,United Kingdom,,,,Land,,No,,,
,Cesenatico1815,Italy,44.1957722,12.3609868,"Showalter, p559",Cesenatico,1815,,Napoleonic Wars (100 Days Campaign),Habsburg Empire,Kingdom of Naples,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p559",,
